timeStamp,type,description
1674664458,HIGH,evAntennaDeployNotAuthorizedOut packetId: 0xFB2E evAntennaDeployNotAuthorizedOut sequenceId: 6 evAntennaDeployNotAuthorizedOut channelId: 255 
1674664454,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 24 evLeopStepOut step: 7 
1674664454,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 23 evLeopStepOut step: 6 
1674664454,NORMAL, Function END ID: 5 ANTENNA_START 
1674664446,NORMAL, Function START ID: 5 ANTENNA_START 
1674664446,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 22 evLeopStepOut step: 5 
1674664436,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 21 evLeopStepOut step: 4 
1674664436,NORMAL, Function END ID: 6 ANTENNA_STOP 
1674664429,NORMAL, Function START ID: 6 ANTENNA_STOP 
1674664429,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 20 evLeopStepOut step: 3 
1674664369,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 19 evLeopStepOut step: 11 
1674664359,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 18 evLeopStepOut step: 10 
1674664299,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 17 evLeopStepOut step: 9 
1674664299,HIGH,evAntennaDeployNotAuthorizedOut packetId: 0xFB2E evAntennaDeployNotAuthorizedOut sequenceId: 5 evAntennaDeployNotAuthorizedOut channelId: 255 
1674664239,HIGH,evAntennaDeployNotAuthorizedOut packetId: 0xFB2E evAntennaDeployNotAuthorizedOut sequenceId: 4 evAntennaDeployNotAuthorizedOut channelId: 255 
1674664239,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 16 evLeopStepOut step: 8 
1674664235,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 15 evLeopStepOut step: 7 
1674664234,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 14 evLeopStepOut step: 6 
