timeStamp,latitude,longitude,altitude
1681913520,-22.337584,-51.002693,511.243011
1681913340,-33.641979,-48.359928,513.788696
1681913160,-44.884647,-45.143879,516.530518
1681912980,-56.023415,-40.726944,518.954895
1681912800,-66.943680,-33.345318,520.565308
1681912620,-77.137993,-15.764033,520.963257
1681912440,-82.584190,46.414066,519.913940
1681912260,-75.849411,100.304047,517.388123
1681912080,-65.462646,115.474983,513.574158
1681911900,-54.471832,122.252930,508.858521
1681911720,-43.278130,126.446686,503.776642
1681911540,-31.980461,129.561996,498.939453
1681911360,-20.618700,132.156464,494.945709
1681911180,-9.217722,134.494446,492.292511
1681911000,2.201323,136.733276,491.299408
1681910820,13.617929,138.995255,492.059082
1681910640,25.011385,141.410645,494.424347
1681910460,36.359447,144.166611,498.033844
1681910280,47.633213,147.607819,502.371307
1681910100,58.778358,152.529663,506.847504
1681909920,69.634041,161.357178,510.890076
1681909740,79.373116,-174.677170,514.027100
1681909560,81.761086,-100.936768,515.952087
1681909380,73.294243,-62.353893,516.562317
1681909200,62.670349,-50.558475,515.965820
1681909020,51.627110,-44.711235,514.457336
1681908840,40.428879,-40.883625,512.465942
1681908660,29.149546,-37.942169,510.482239
1681908480,17.821562,-35.437008,508.974701
1681908300,6.466315,-33.142570,508.309448
1681908120,-4.897666,-30.916321,508.685760
1681907940,-16.252436,-28.639170,510.100006
1681907760,-27.579760,-26.174732,512.343994
1681907580,-38.859211,-23.314899,515.038635
1681907400,-50.061295,-19.657648,517.696350
1681907220,-61.122532,-14.226689,519.800842
1681907040,-71.830238,-3.821161,520.891724
1681906860,-80.916824,27.767151,520.639282
1681906680,-80.489067,103.853447,518.900452
1681906500,-71.174339,132.882553,515.747070
1681906320,-60.408287,142.771454,511.463226
1681906140,-49.303017,148.041153,506.512054
1681905960,-38.054234,151.631973,501.473877
1681905780,-26.723288,154.461288,496.965057
1681905600,-15.340664,156.912918,493.547577
1681905420,-3.928833,159.188660,491.644073
1681905240,7.491530,161.423431,491.472748
1681905060,18.899906,163.738235,493.014130
1681904880,30.275169,166.281982,496.016205
1681904700,41.593082,169.296112,500.036591
1681904520,52.816959,173.273666,504.514130
1681904340,63.862122,179.493820,508.856262
1681904160,74.412369,-167.404373,512.527710
1681903980,82.241463,-122.471329,515.126526
1681903800,78.431229,-52.778919,516.437927
1681903620,68.464211,-31.951456,516.457947
1681903440,57.583855,-23.814621,515.386169
1681903260,46.454178,-19.129782,513.587769
1681903080,35.212982,-15.793991,511.530518
1681902900,23.908094,-13.091853,509.705627
1681902720,12.565089,-10.705402,508.543823
1681902540,1.203527,-8.457838,508.340790
1681902360,-10.158465,-6.222914,509.204620
1681902180,-21.502918,-3.878663,511.035156
1681902000,-32.810986,-1.264468,513.539185
1681901820,-44.059456,1.894364,516.278381
1681901640,-55.208462,6.185891,518.741394
1681901460,-66.153107,13.227216,520.427734
1681901280,-76.448059,29.432068,520.929077
1681901100,-82.623619,87.188187,519.996704
1681900920,-76.552834,145.668411,517.585144
1681900740,-66.256645,162.082657,513.866760
1681900560,-55.289082,169.177414,509.214264
1681900380,-44.105602,173.489944,504.153870
1681900200,-32.813923,176.659897,499.293304
1681900020,-21.456018,179.281631,495.234619
1681899840,-10.057312,-178.367645,492.484680
1681899660,1.360928,-176.125870,491.377441
1681899480,12.778193,-173.869720,492.022675
1681899300,24.173820,-171.470978,494.289886
1681899120,35.525791,-168.749008,497.831451
1681898940,46.806061,-165.376877,502.139648
1681898760,57.963570,-160.612946,506.627411
1681898580,68.852295,-152.250687,510.718140
1681898400,78.756790,-130.419678,513.930054
1681898220,82.097687,-59.151775,515.943054
1681898040,74.039650,-16.465096,516.638977
1681897860,63.474953,-3.834069,516.111267
1681897680,52.449272,2.253262,514.642639
1681897500,41.259190,6.177111,512.655273
1681897320,29.984577,9.164305,510.638458
1681897140,18.659414,11.692392,509.065857
1681896960,7.305508,13.996950,508.314209
1681896780,-4.058518,16.224131,508.597412
1681896600,-15.414699,18.493334,509.927826
1681896420,-26.744854,20.938181,512.112183
1681896240,-38.028843,23.758677,514.782410
1681896060,-49.238308,27.334930,517.456665
1681895880,-60.314125,32.573372,519.618042
1681895700,-71.064957,42.367359,520.799194
1681895520,-80.406517,70.935158,520.658569
1681895340,-80.992165,146.950928,519.037720
1681895160,-71.939407,179.057999,515.991943
1681894980,-61.217632,-170.431778,511.790283
1681894800,-50.127514,-164.967438,506.883820
1681894620,-38.886543,-161.294998,501.846313
1681894440,-27.560488,-158.426132,497.293915
1681894260,-16.180964,-155.954849,493.795013
1681894080,-4.770722,-153.671204,491.784454
1681893900,6.649514,-151.437500,491.496460
1681893720,18.059242,-149.133102,492.928833
1681893540,29.437439,-146.612854,495.845215
1681893360,40.760284,-143.645676,499.814819
1681893180,51.992699,-139.767426,504.282166
1681893000,63.056316,-133.797485,508.653809
1681892820,73.669724,-121.581856,512.387451
1681892640,81.942574,-80.924438,515.069336
1681892460,79.062950,-8.361929,516.469849
1681892280,69.249245,14.469063,516.569641
1681892100,58.400276,23.050537,515.554688
1681891920,47.282448,27.888338,513.780151
1681891740,36.047493,31.291525,511.709534
1681891560,24.746365,34.026978,509.835663
1681891380,13.405476,36.429726,508.597168
1681891200,2.044609,38.682945,508.302490
1681891020,-9.318060,40.914814,509.075317
1681890840,-20.664572,43.246277,510.831390
1681890660,-31.976200,45.833199,513.290894
1681890480,-43.230297,48.937542,516.024231
1681890300,-54.389084,53.110882,518.523010
1681890120,-65.356346,59.838177,520.283020
1681889940,-75.739960,74.818161,520.886475
1681889760,-82.569145,127.948486,520.070923
1681889580,-77.243469,-169.177856,517.774841
1681889400,-67.050987,-151.354187,514.154175
1681889220,-56.108662,-143.913132,509.567719
1681889040,-44.935955,-139.473495,504.532104
1681888860,-33.650494,-136.245697,499.651245
1681888680,-22.296589,-133.595139,495.530121
1681888500,-10.900273,-131.230774,492.684875
1681888320,0.517054,-128.985382,491.463745
1681888140,11.934874,-126.734421,491.993500
1681887960,23.332567,-124.351425,494.160583
1681887780,34.688316,-121.661926,497.631409
1681887600,45.974865,-118.355431,501.907288
1681887420,57.144112,-113.739670,506.403809
1681887240,68.063171,-105.803246,510.540527
1681887060,78.110931,-85.859413,513.826233
1681886880,82.358376,-17.816950,515.927246
1681886700,74.778664,29.288504,516.710083
1681886520,64.280731,42.857662,516.253174
1681886340,53.273991,49.205711,514.827271
1681886160,42.092480,53.232201,512.846741
1681885980,30.822792,56.267761,510.799408
1681885800,19.500586,58.820103,509.163574
1681885620,8.148128,61.135597,508.326355
1681885440,-3.215839,63.364353,508.516022
1681885260,-14.573334,65.626289,509.761017
1681885080,-25.906218,68.052513,511.883148
1681884900,-37.194611,70.835464,514.526001
1681884720,-48.411194,74.334885,517.213684
1681884540,-59.500786,79.393379,519.429199
1681884360,-70.290810,88.631683,520.698792
1681884180,-79.850929,114.513359,520.669189
1681884000,-81.445183,-170.431519,519.166809
1681883820,-72.701080,-134.862793,516.230347
1681883640,-62.028595,-123.660835,512.113403
1681883460,-50.954666,-117.986160,507.254761
1681883280,-39.721859,-114.226868,502.221222
1681883100,-28.400866,-111.316200,497.628143
1681882920,-17.024569,-108.824097,494.049896
1681882740,-5.616032,-106.531792,491.933197
1681882560,5.803969,-104.298523,491.528137
1681882380,17.214947,-102.003792,492.849945
1681882200,28.595964,-99.505913,495.678162
1681882020,39.923592,-96.583511,499.593994
1681881840,51.164192,-92.799194,504.048096
1681881660,62.245098,-87.061760,508.446716
1681881480,72.915100,-75.643013,512.240845
1681881300,81.569191,-38.946278,515.005249
1681881120,79.667870,35.707088,516.495422
1681880940,70.033142,60.823807,516.676636
1681880760,59.218742,69.895828,515.720886
1681880580,48.113514,74.898132,513.973206
1681880400,36.885090,78.372849,511.891968
1681880220,25.587881,81.143501,509.971436
1681880040,14.249231,83.563576,508.657654
1681879860,2.889168,85.823166,508.271576
1681879680,-8.474079,88.052612,508.952423
1681879500,-19.822550,90.372063,510.631927
1681879320,-31.137632,92.932976,513.044067
1681879140,-42.397179,95.985405,515.768433
1681878960,-53.565327,100.047272,518.299988
1681878780,-64.553627,106.484291,520.131226
1681878600,-75.015671,120.371834,520.835449
1681878420,-82.421646,168.855270,520.136597
1681878240,-77.918442,-124.266472,517.956909
1681878060,-67.845322,-104.840446,514.436096
1681877880,-56.930489,-97.019920,509.918640
1681877700,-45.769150,-92.444054,504.911072
1681877520,-34.490158,-89.154968,500.013062
1681877340,-23.140400,-86.473961,495.832092
1681877160,-11.746594,-84.095016,492.893097
